X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,r
Zdhhc9,742.4556803,-0.797748441,0.126015291,-6.33056857,2.44E-10,9.31E-10,1
Zdhhc8,351.8025017,-1.242354468,0.156964535,-7.914873665,2.48E-15,1.28E-14,1
Zdhhc7,907.9163154,0.268172096,0.110481916,2.427294037,0.015211921,0.028700558,1
Zdhhc6,384.4257766,-0.033536024,0.13851669,-0.242108179,0.808696341,0.867405947,1
Zdhhc5,1203.24922,-0.833961516,0.102165078,-8.162882412,3.27E-16,1.77E-15,1
Zdhhc4,179.4804954,0.18316764,0.199280241,0.919146021,0.3580192,0.47320435,1
Zdhhc3,457.5949326,-0.326918915,0.135282069,-2.416572408,0.01566741,0.029497627,1
Zdhhc24,318.3805558,0.253556263,0.14440086,1.755919343,0.079102182,0.129143158,1
Zdhhc23,2.823812433,-0.548828148,1.398209128,-0.392522218,0.694672398,0.777705992,1
Zdhhc21,261.8250609,-1.581567355,0.177430122,-8.913747763,4.93E-19,3.09E-18,1
Zdhhc20,2022.302343,-0.290711583,0.1180208,-2.463223277,0.013769414,0.026217965,1
Zdhhc2,8.997079607,-0.542111127,0.753281278,-0.719666269,0.471730499,0.589524175,1
Zdhhc18,519.1212554,-0.88372286,0.132081282,-6.690750157,2.22E-11,8.99E-11,1
Zdhhc17,561.5659246,-0.735958524,0.124004035,-5.934956263,2.94E-09,1.05E-08,1
Zdhhc16,392.1006807,0.645627149,0.144294262,4.474378536,7.66E-06,2.10E-05,1
Zdhhc15,9.432325439,-0.420374001,0.796301389,-0.527908159,0.597563081,0.704644459,1
Zdhhc14,461.5869474,-0.677541437,0.137982525,-4.910342372,9.09E-07,2.69E-06,1
Zdhhc13,615.2807623,0.468862253,0.149558908,3.134967081,0.001718734,0.003718592,1
Zdhhc12,178.7304723,1.209718357,0.207787431,5.82190342,5.82E-09,2.03E-08,1
Zdhhc1,177.8170027,-0.064577525,0.180657157,-0.35745899,0.720748222,0.800773688,1
Zdbf2,3.652811038,-0.144721382,1.393686563,-0.103840695,0.917295771,0.949132178,1
Zcwpw1,229.8156563,0.155549852,0.186058678,0.836025782,0.403140399,0.520825136,1
Zcrb1,356.1175865,1.515454197,0.142908293,10.6043825,2.84E-26,2.51E-25,1
Zcchc9,220.0347746,0.974977474,0.17649696,5.52404683,3.31E-08,1.09E-07,1
Zcchc8,622.3435986,-0.397414002,0.115658098,-3.436110462,0.00059013,0.001347928,1
Zcchc7,355.7867311,-0.504429896,0.158907805,-3.174355706,0.001501695,0.003273638,1
Zcchc6,1098.955722,-1.076023786,0.114226661,-9.420075614,4.51E-21,3.14E-20,1
Zcchc4,145.728381,-0.144639411,0.195427654,-0.740117422,0.459228748,0.576575504,1
Zcchc3,50.45102168,-0.897828588,0.329121109,-2.727958076,0.006372771,0.012800603,1
Zcchc24,524.692773,-1.439529283,0.136280583,-10.56298152,4.42E-26,3.88E-25,1
Zcchc2,549.8452288,-1.761751181,0.139098165,-12.66552429,9.18E-37,1.32E-35,1
Zcchc18,67.43143002,1.761712892,0.332637194,5.296199358,1.18E-07,3.73E-07,1
Zcchc17,452.0837474,1.108819828,0.143817098,7.709930507,1.26E-14,6.26E-14,1
Zcchc16,1.455391601,4.380476534,2.279203786,1.921932809,0.054614213,0.09254696,1
Zcchc14,507.4388246,-2.077039229,0.13708149,-15.15185774,7.37E-52,1.97E-50,1
Zcchc12,6.226853485,0.936172339,0.908917628,1.029985898,0.303016626,0.413801805,1
Zcchc11,418.7315083,-1.618474203,0.147072435,-11.00460602,3.63E-28,3.55E-27,1
Zcchc10,99.67851683,0.830507828,0.247525402,3.355242822,0.000792953,0.001786909,1
Zc4h2,140.4863029,0.881946261,0.228262137,3.863743116,0.000111663,0.00027536,1
Zc3hc1,337.7013001,0.731123541,0.164415794,4.446796282,8.72E-06,2.38E-05,1
Zc3hav1l,29.72249528,-2.470955513,0.490979496,-5.032706116,4.84E-07,1.46E-06,1
Zc3hav1,504.6015318,-0.89123555,0.129778673,-6.867349841,6.54E-12,2.75E-11,1
Zc3h8,121.8859804,0.507686527,0.225547274,2.250909609,0.024391263,0.044267364,1
Zc3h7b,702.549384,-1.28440727,0.117597033,-10.92210613,9.04E-28,8.68E-27,1
